Host Id,Host Since,Namefixed ,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
500,26/6/2008,Trendy Times Square Loft,Trendy Times Square Loft,Manhattan,Apartment,95,Private room,10036,3,1,39,549,96
1039,25/7/2008,Big Greenpoint 1Bd W/ Skyline View,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,4,149,100
1783,12/8/2008,Amazing Also,Amazing Also,Manhattan,Apartment,100,Entire home/apt,10004,1,1,9,250,100
2078,15/8/2008,"Colorful, Quiet, & Near The Subway","Colorful, quiet, & near the subway",Brooklyn,Apartment,90,Private room,11201,1,1,80,90,94
2339,20/8/2008,East Village Cocoon 2 Bedroom Flat,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,90,Entire home/apt,10009,2,1,95,270,90
2339,20/8/2008,Lovely 2 Bedroom East Village Nest,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,95,Entire home/apt,10009,2,1,23,290,96
2571,27/8/2008,The Putnam,THE PUTNAM,Brooklyn,Apartment,95,Entire home/apt,11221,2,1,14,170,98
2758,6/9/2008,Stay At Chez Chic Budget Room 1,Stay at Chez Chic budget room 1,Manhattan,Apartment,90,Private room,10026,2,1,120,59,93
2758,6/9/2008,Stay At Chez Chic Budget Room 2,Stay at Chez Chic budget Room 2,Manhattan,Apartment,90,Private room,10026,2,1,81,49,91
2845,9/9/2008,Midtown Castle,Midtown Castle,Manhattan,Apartment,95,Entire home/apt,10018,1,1,17,285,97
2881,10/9/2008,Newly Renovated Historic Brownstone,Newly renovated historic brownstone,Brooklyn,Apartment,95,Private room,11216,1,1,32,75,95
2965,14/9/2008,Large Bedroom In 3Bedroom Apt,Large Bedroom in 3-bedroom Apt.,Manhattan,Apartment,95,Private room,10025,1,1,52,145,99
3211,25/9/2008,"Elegant Nyc, 10Mins To Manhattan","Elegant NYC, 10mins to Manhattan",Queens,Apartment,90,Private room,11106,1,1,3,100,93
3226,26/9/2008,Huge Room Soho Loft Off Wbroadway,Huge Room Soho LOFT off WBroadway,Manhattan,Apartment,85,Private room,10013,1,1,9,125,86
3227,26/9/2008,"Priv Apt,Garden,Bbq,A/C,Bigtv,For 4","Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,Apartment,85,Entire home/apt,10001,3,1,171,150,85
3563,10/10/2008,16' X 11' Furnished Br With Balcony,16' x 11' Furnished BR with Balcony,Brooklyn,Apartment,100,Private room,11220,1,1,1,40,100
3647,14/10/2008,Conveniently Queens With Two Rooms,Conveniently Queens with Two Rooms,Queens,Apartment,90,Entire home/apt,11373,1,1,4,89,93
3647,14/10/2008,Quality Cozy Studio Next To Subway,Quality Cozy Studio Next to Subway,Queens,Apartment,90,Entire home/apt,11373,1,1,16,95,94
3647,14/10/2008,Queens Quality Convenient Apartment,Queens Quality Convenient Apartment,Queens,Apartment,100,Entire home/apt,11373,2,1,9,99,100
3867,29/10/2008,1 Bedroom Apartment In Chinatown,1 Bedroom Apartment in Chinatown,Manhattan,Apartment,90,Entire home/apt,10002,1,1,19,149,93
3867,29/10/2008,3 Bedroom Apartment In Chinatown,3 bedroom apartment in Chinatown,Manhattan,Apartment,80,Entire home/apt,10038,4,1,2,499,80
4177,9/11/2008, Brooklyn Penthouse Guestroom , Brooklyn Penthouse Guestroom ,Brooklyn,Apartment,90,Private room,11206,1,1,16,125,94
4267,12/11/2008,Robin'S Nest On The Fabulous Uws,Robin's Nest on the fabulous UWS,Manhattan,Apartment,85,Entire home/apt,10024,2,1,28,170,88
4267,12/11/2008,Airy Room On The Fabulous Uws,Airy Room on the fabulous UWS,Manhattan,Apartment,90,Private room,10024,1,1,62,120,92
4396,19/11/2008,"Large Room, Amazing E Village Apt","Large Room, Amazing E. Village Apt",Manhattan,Apartment,85,Private room,10009,1,1,23,79,89
4488,21/11/2008,Sunny & Bright Harlem Home,Sunny & Bright Harlem Home,Manhattan,Apartment,95,Entire home/apt,10027,3,1,6,125,97
4732,1/12/2008,A Home In The Heart Of Park Slope,A home in the heart of Park Slope,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,5,110,92
4869,7/12/2008,Whole B'Stone Flr W Priv Kit & Bat,Whole B'stone flr w priv kit & bat,Brooklyn,Other,85,Private room,11238,3,1,14,89,85
5871,31/12/2008,Bergen'S Best Short Stay 2,Bergen's Best Short Stay 2,Brooklyn,Apartment,90,Entire home/apt,11213,3,1,12,180,93
5871,31/12/2008,Bergen'S Best,Bergen's Best,Brooklyn,Apartment,95,Entire home/apt,11213,3,1,5,180,95
5926,2/1/2009,Charming Central Park Hideaway,Charming Central Park Hideaway,Manhattan,Apartment,80,Entire home/apt,10026,1,1,23,143,82
5926,2/1/2009,Nyc 2Bed Apt Mins To Times Square,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,85,Entire home/apt,10027,2,1,28,230,89
5926,2/1/2009,Beautiful Apt With Park Views,Beautiful Apt with Park Views,Manhattan,Apartment,85,Entire home/apt,10030,5,1,40,350,86
5926,2/1/2009,Beautiful Room 1 With Park Views,Beautiful Room 1 with Park Views,Manhattan,Apartment,85,Private room,10027,1,1,9,85,87
5926,2/1/2009,Beautiful Room 2 With Park Views,Beautiful Room 2 with Park Views,Manhattan,Apartment,90,Private room,10027,1,1,13,85,91
5926,2/1/2009,Beautiful Room 3 With Park Views,Beautiful Room 3 with Park Views,Manhattan,Apartment,90,Private room,10027,1,1,14,85,92
5926,2/1/2009,Nice Apt Near Columbia University 2,Nice Apt Near Columbia University 2,Manhattan,Apartment,80,Private room,10031,1,1,35,60,81
5926,2/1/2009,Nice Apt Near Columbia University 3,Nice Apt Near Columbia University 3,Manhattan,Apartment,80,Private room,10031,2,1,34,70,82
5940,2/1/2009,Comfy 2Br Apt 20 Mins To Midtown,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,85,Entire home/apt,11368,2,1,47,135,86
6041,5/1/2009,Beautiful Apt In Astoria,Beautiful Apt. In Astoria,Queens,Apartment,100,Private room,11105,1,1,4,44,100
7118,26/1/2009,Perfect Location Contact Me Now,PERFECT location Contact me NOW,Manhattan,Apartment,85,Entire home/apt,10036,1,1,14,200,87
7209,29/1/2009,Next To Empire State Building,Next to Empire State building,Manhattan,Apartment,100,Entire home/apt,10016,1,1,9,250,100
7222,29/1/2009,Spacious Arty 1Br Noho / E Village,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,Apartment,95,Entire home/apt,10003,2,1,42,175,95
7230,30/1/2009,"Luxury Building, Big 1Br  90Th","Luxury Building, big 1BR - 90th",Manhattan,Apartment,95,Entire home/apt,10128,2,1,7,165,96
7299,2/2/2009,"Downtown Calm, Convenience & Space","Downtown calm, convenience & space",Manhattan,Apartment,95,Entire home/apt,10005,1,1,16,145,95
7322,2/2/2009,Large & Cozy Midtown East 1 Br Apt,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,85,Entire home/apt,10016,1,1,47,200,86
7323,2/2/2009,Chez Leo Clinton Hill Ft Greene,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,Apartment,85,Entire home/apt,11238,1,1,13,115,88
7351,2/2/2009,2 Floor Loft Room In Artist Studio,2 Floor Loft room in Artist Studio,Brooklyn,Loft,80,Private room,11215,2,1,3,74,80
7351,2/2/2009,Spacious Room In Huge Artist Loft,Spacious room in Huge artist Loft,Brooklyn,Loft,100,Private room,11215,1,1,2,84,100
7356,3/2/2009,Blissartsspace,BlissArtsSpace,Brooklyn,Apartment,90,Private room,11216,1,1,41,50,90
7356,3/2/2009,Private Bliss Art Space 2,Private Bliss Art Space 2,Brooklyn,Apartment,90,Private room,11216,1,1,52,50,93
7386,3/2/2009,Quiet Slice Of Manhattan,Quiet Slice of Manhattan,Manhattan,Apartment,90,Entire home/apt,10016,1,1,42,129,92
7414,4/2/2009,Historic Fort Greene  Red Rooster,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,80,Entire home/apt,11217,3,1,15,185,82
7414,4/2/2009,Historic Fort GreeneDeco On Greene,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,85,Entire home/apt,11217,3,1,21,185,85
